question,answer,category,difficulty
"What is women's empowerment?","Women's empowerment refers to the process of giving women the power and authority to make life decisions, access resources, and participate fully in social, economic, and political life. It's about creating an environment where women can exercise their rights and achieve their full potential.","basic_concepts","beginner"
"What does gender equality mean?","Gender equality means that all individuals, regardless of their gender, have equal rights, responsibilities, and opportunities. It involves equal treatment in all areas of life including education, employment, healthcare, and political participation.","basic_concepts","beginner"
"Why is girls' education important?","Educating girls is crucial because it leads to better health outcomes, economic growth, and social development. Educated women are more likely to educate their own children, participate in workforce, and make informed decisions about their health and lives.","education","intermediate"
"How can we support women's education?","You can support women's education by donating to organizations that provide scholarships for girls, mentoring young women, advocating for equal educational opportunities, supporting STEM programs for girls, and challenging gender stereotypes in educational materials.","education","intermediate"
"What is the gender pay gap?","The gender pay gap refers to the difference in average earnings between men and women. Globally, women earn about 20% less than men for similar work. This gap is influenced by factors like occupational segregation, discrimination, and caregiving responsibilities.","workplace","intermediate"
"How can companies promote gender equality?","Companies can promote gender equality by implementing equal pay policies, offering flexible work arrangements, providing mentorship programs for women, ensuring diverse hiring practices, creating safe reporting mechanisms for harassment, and having women in leadership positions.","workplace","advanced"
"What are reproductive rights?","Reproductive rights include the right to decide if, when, and how to have children; access to contraception and safe abortion; quality maternal healthcare; and freedom from forced sterilization or pregnancy. These are fundamental human rights recognized internationally.","health_rights","intermediate"
"How can we prevent gender-based violence?","Preventing gender-based violence requires comprehensive approaches including education about healthy relationships, legal reforms, support services for survivors, challenging harmful gender norms, economic empowerment for women, and community awareness programs.","health_rights","advanced"
"What does research say about attitudes toward gender-based violence?","Research shows that attitudes toward gender-based violence vary significantly by education level. For example, survey data indicates that individuals with higher education are much less likely to justify violence against women compared to those with no formal education.","data_insights","intermediate"
"How does education affect views on women's rights?","Education has a strong positive correlation with supportive attitudes toward women's rights. Data shows that people with higher education levels are more likely to believe in gender equality, support women's workforce participation, and reject gender-based violence.","data_insights","intermediate"
